ts,open,high,low,close,volume,signal
2025-06-19 10:56:00,104939.01,104939.01,104909.0,104909.0,4.40766,HOLD
2025-06-19 10:57:00,104908.99,104913.2,104908.99,104913.19,0.95504,HOLD
2025-06-19 10:58:00,104913.2,104913.2,104913.19,104913.2,2.58512,HOLD
2025-06-19 10:59:00,104913.19,104913.2,104913.19,104913.19,3.50968,HOLD
2025-06-19 11:00:00,104913.19,104913.2,104901.4,104909.23,3.93401,HOLD
2025-06-19 11:01:00,104909.23,104909.24,104865.25,104874.29,5.15637,HOLD
2025-06-19 11:02:00,104874.28,104884.25,104874.28,104884.25,2.28901,HOLD
2025-06-19 11:03:00,104884.25,104897.66,104884.25,104897.65,0.92463,HOLD
2025-06-19 11:04:00,104897.66,104905.13,104897.65,104897.65,1.55629,HOLD
2025-06-19 11:05:00,104897.65,104897.66,104895.47,104895.48,2.34807,HOLD
2025-06-19 11:06:00,104895.47,104895.48,104843.16,104843.16,3.56442,HOLD
2025-06-19 11:07:00,104843.17,104843.17,104804.5,104804.5,6.31185,HOLD
2025-06-19 11:08:00,104804.51,104804.51,104781.14,104793.97,3.74191,HOLD
2025-06-19 11:09:00,104793.96,104806.08,104793.96,104806.08,1.06625,HOLD
2025-06-19 11:10:00,104806.08,104812.98,104806.08,104812.97,2.40071,HOLD
2025-06-19 11:11:00,104812.97,104812.98,104812.97,104812.98,1.72682,HOLD
2025-06-19 11:12:00,104812.97,104819.8,104803.6,104819.79,7.08553,HOLD
2025-06-19 11:13:00,104819.8,104819.8,104819.79,104819.8,0.24894,HOLD
